Date,Category,Category Group,Amount,Year,Month
2025-03-01,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-01,SHOPRITE,Supplies,279.93,2025,3
2025-03-01,WAGES,Labor,14530.0,2025,3
2025-03-01,WASI,Raw Materials,8599.61,2025,3
2025-03-03,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-03,OTHER,Other Expenses,193.99,2025,3
2025-03-03,WASI,Raw Materials,6507.63,2025,3
2025-03-04,CHIPKINS,Raw Materials,5681.0,2025,3
2025-03-04,FUEL/TOLL,Transportation,1252.25,2025,3
2025-03-04,OTHER,Other Expenses,85.0,2025,3
2025-03-04,SHOPRITE,Supplies,319.92,2025,3
2025-03-04,WASI,Raw Materials,7318.55,2025,3
2025-03-05,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-06,CHIPKINS,Raw Materials,4358.5,2025,3
2025-03-06,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-06,OTHER,Other Expenses,379.25,2025,3
2025-03-06,SHOPRITE,Supplies,319.92,2025,3
2025-03-06,WASI,Raw Materials,7386.52,2025,3
2025-03-07,FUEL/TOLL,Transportation,800.08,2025,3
2025-03-07,OTHER,Other Expenses,76.0,2025,3
2025-03-07,WAGES,Labor,18610.0,2025,3
2025-03-08,FUEL/TOLL,Transportation,700.0,2025,3
2025-03-08,MAKRO,Supplies,3258.8,2025,3
2025-03-08,SHOPRITE,Supplies,163.96,2025,3
2025-03-08,WASI,Raw Materials,3311.83,2025,3
2025-03-09,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-09,OTHER,Other Expenses,1070.7,2025,3
2025-03-09,SHOPRITE,Supplies,319.92,2025,3
2025-03-09,WASI,Raw Materials,8701.53,2025,3
2025-03-10,ELECTRICITY,Utilities,1500.0,2025,3
2025-03-10,FUEL/TOLL,Transportation,800.0,2025,3
2025-03-10,HYPER SWEETS,Raw Materials,1200.0,2025,3
2025-03-10,OTHER,Other Expenses,49.0,2025,3
2025-03-10,SHOPRITE,Supplies,404.91,2025,3
2025-03-10,T/BANTU SWEETS,Raw Materials,180.0,2025,3
2025-03-10,WASI,Raw Materials,7112.6,2025,3
2025-03-11,CHIPKINS,Raw Materials,19333.8,2025,3
2025-03-11,FUEL/TOLL,Transportation,745.24,2025,3
2025-03-11,SHOPRITE,Supplies,359.92,2025,3
2025-03-11,SPICE AND PACK,Other Expenses,4771.7,2025,3
2025-03-11,WASI,Raw Materials,6523.64,2025,3
