Week,Year,Store,CakeType,Delivered,DeliveryAmount
14 - 20 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,18.0,2152.7999999999997
14 - 20 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,100.0,11270.0
14 - 20 APR 2025,2025,ERMELO CHECKERS,VANILLA,22.0,2479.4
14 - 20 APR 2025,2025,ERMELO CHECKERS,CARROT,22.0,2631.2
14 - 20 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,40.0,4508.0
14 - 20 APR 2025,2025,ERMELO MERINO MALL,VANILLA,16.0,1803.2
14 - 20 APR 2025,2025,ERMELO MERINO MALL,CARROT,18.0,2152.7999999999997
14 - 20 APR 2025,2025,SAVEWAYS,CHOCOLATE,44.0,4958.8
14 - 20 APR 2025,2025,SAVEWAYS,VANILLA,18.0,2028.6000000000001
14 - 20 APR 2025,2025,SAVEWAYS,CARROT,18.0,2152.7999999999997
14 - 20 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,45.0,5071.5
14 - 20 APR 2025,2025,KLIPFONTEIN,VANILLA,18.0,2028.6000000000001
14 - 20 APR 2025,2025,KLIPFONTEIN,CARROT,18.0,2152.7999999999997
14 - 20 APR 2025,2025,BARBERTON PNP,CHOCOLATE,54.0,5400.0
14 - 20 APR 2025,2025,BARBERTON PNP,VANILLA,41.0,4100.0
14 - 20 APR 2025,2025,BARBERTON PNP,COFFEE,16.0,1600.0
14 - 20 APR 2025,2025,BARBERTON PNP,CARROT,29.0,2900.0
14 - 20 APR 2025,2025,BARBERTON PNP,DARKM,58.0,5800.0
14 - 20 APR 2025,2025,PLAZA SPAR,CHOCOLATE,11.0,1320.0
14 - 20 APR 2025,2025,PLAZA SPAR,VANILLA,4.0,480.0
14 - 20 APR 2025,2025,PLAZA SPAR,COFFEE,12.0,1440.0
14 - 20 APR 2025,2025,PLAZA SPAR,DARKM,11.0,1320.0
14 - 20 APR 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0
14 - 20 APR 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0
14 - 20 APR 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0
14 - 20 APR 2025,2025,HAZYVIEW SPAR,CARROT,5.0,600.0
14 - 20 APR 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,36.0,4057.2000000000003
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,24.0,2704.8
21 - 27 APR 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,64.0,7212.8
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,32.0,3606.4
21 - 27 APR 2025,2025,HYPER CHECKERS ORCHADS,CARROT,32.0,3827.2
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,40.0,4508.0
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2
21 - 27 APR 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CHOCOLATE,160.0,18032.0
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,VANILLA,48.0,5409.6
21 - 27 APR 2025,2025,HAZYVIEW CHECKERS,CARROT,48.0,5740.799999999999
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,20.0,2254.0
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,VANILLA,8.0,901.6
21 - 27 APR 2025,2025,LYDENBURG CHECKERS,CARROT,8.0,956.8
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,28.0,3155.6
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0
21 - 27 APR 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0
21 - 27 APR 2025,2025,ERMELO CHECKERS,CHOCOLATE,52.0,5860.400000000001
21 - 27 APR 2025,2025,ERMELO CHECKERS,VANILLA,10.0,1127.0
21 - 27 APR 2025,2025,ERMELO CHECKERS,CARROT,10.0,1196.0
21 - 27 APR 2025,2025,ERMELO MERINO MALL,CHOCOLATE,20.0,2254.0
21 - 27 APR 2025,2025,ERMELO MERINO MALL,VANILLA,8.0,901.6
21 - 27 APR 2025,2025,ERMELO MERINO MALL,CARROT,10.0,1196.0
21 - 27 APR 2025,2025,SAVEWAYS,CHOCOLATE,28.0,3155.6
21 - 27 APR 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0
21 - 27 APR 2025,2025,SAVEWAYS,CARROT,10.0,1196.0
21 - 27 APR 2025,2025,KLIPFONTEIN,CHOCOLATE,28.0,3155.6
21 - 27 APR 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0
21 - 27 APR 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0
21 - 27 APR 2025,2025,BARBERTON PNP,CHOCOLATE,77.0,7700.0
21 - 27 APR 2025,2025,BARBERTON PNP,VANILLA,33.0,3300.0
21 - 27 APR 2025,2025,BARBERTON PNP,COFFEE,17.0,1700.0
21 - 27 APR 2025,2025,BARBERTON PNP,CARROT,20.0,2000.0
