Week,Year,Store,CakeType,Delivered,DeliveryAmount,WeekIndex
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,CHOCOLATE,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,COFFEE,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,DARKM,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,HAZYVIEW SPAR,VANILLA,5.0,600.0,5
28 APR - 4 MAY 2025,2025,HYPER CHECKERS ORCHADS,CARROT,28.0,3348.8,5
28 APR - 4 MAY 2025,2025,HYPER CHECKERS ORCHADS,CHOCOLATE,60.0,6762.0,5
28 APR - 4 MAY 2025,2025,HYPER CHECKERS ORCHADS,VANILLA,28.0,3155.6,5
28 APR - 4 MAY 2025,2025,KLIPFONTEIN,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,KLIPFONTEIN,CHOCOLATE,24.0,2704.8,5
28 APR - 4 MAY 2025,2025,KLIPFONTEIN,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,CARROT,7.0,837.1999999999999,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,CHOCOLATE,16.0,1803.2,5
28 APR - 4 MAY 2025,2025,LYDENBURG CHECKERS,VANILLA,7.0,788.9,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,CHOCOLATE,28.0,3155.6,5
28 APR - 4 MAY 2025,2025,MIDDELBRUG CHECKERS,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,CARROT,0.0,0.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,CHOCOLATE,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,COFFEE,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,DARKM,10.0,1200.0,5
28 APR - 4 MAY 2025,2025,PLAZA SPAR,VANILLA,4.0,480.0,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CARROT,12.0,1435.1999999999998,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,CHOCOLATE,40.0,4508.0,5
28 APR - 4 MAY 2025,2025,RIVERSIDE MALL CHECKERS,VANILLA,22.0,2479.4,5
28 APR - 4 MAY 2025,2025,SAVEWAYS,CARROT,10.0,1196.0,5
28 APR - 4 MAY 2025,2025,SAVEWAYS,CHOCOLATE,28.0,3155.6,5
28 APR - 4 MAY 2025,2025,SAVEWAYS,VANILLA,10.0,1127.0,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CARROT,16.0,1913.6,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,CHOCOLATE,40.0,4508.0,5
28 APR - 4 MAY 2025,2025,WITRIVIER CHECKERS,VANILLA,16.0,1803.2,5
