Date,Category,Category Group,Amount,Year,Month
2025-02-16,DIESEL,Other Expenses,1124.4,2025,2
2025-02-16,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-16,PNP,Other Expenses,97.98,2025,2
2025-02-16,SHOPRITE,Supplies,189.94,2025,2
2025-02-16,TOLL GATE,Transportation,25.0,2025,2
2025-02-16,TOLL GATE,Transportation,79.0,2025,2
2025-02-17,DIESEL,Other Expenses,800.0,2025,2
2025-02-17,PETROL,Other Expenses,950.63,2025,2
2025-02-17,PNP,Other Expenses,13.99,2025,2
2025-02-17,RIVERS SPICE EMPORIUM,Other Expenses,256.0,2025,2
2025-02-17,SHOPRITE,Supplies,600.99,2025,2
2025-02-17,SOAP CENTRE,Other Expenses,610.0,2025,2
2025-02-17,TBANTU,Other Expenses,90.0,2025,2
2025-02-17,WASI,Raw Materials,8418.52,2025,2
2025-02-18,AE BARB CS,Other Expenses,205.96,2025,2
2025-02-19,AIRTIME,Other Expenses,29.0,2025,2
2025-02-19,CHIPKINS,Raw Materials,26460.13,2025,2
2025-02-19,DIESEL,Other Expenses,700.0,2025,2
2025-02-19,LABELPRO,Other Expenses,764.8,2025,2
2025-02-19,SHOPRITE,Supplies,279.92,2025,2
2025-02-19,WASI,Raw Materials,17.5,2025,2
2025-02-19,WASI,Raw Materials,6789.56,2025,2
2025-02-20,CASH & CARRY,Other Expenses,388.0,2025,2
2025-02-20,DIESEL,Other Expenses,948.3,2025,2
2025-02-20,EASY SPICE & PACK,Other Expenses,960.25,2025,2
2025-02-20,EASY SPICE & PACK,Other Expenses,4771.7,2025,2
2025-02-20,ELECTRICITY,Utilities,1500.0,2025,2
2025-02-20,PNP,Other Expenses,102.94,2025,2
2025-02-20,PNP,Other Expenses,44.99,2025,2
2025-02-20,SHOPRITE,Supplies,69.98,2025,2
2025-02-20,TOLL GATE,Transportation,79.0,2025,2
2025-02-20,TOLL GATE,Transportation,79.0,2025,2
2025-02-21,AE BARB CS,Other Expenses,184.99,2025,2
2025-02-21,DIESEL,Other Expenses,800.0,2025,2
2025-02-21,WAGES,Labor,6900.0,2025,2
2025-02-22,DIESEL,Other Expenses,800.0,2025,2
2025-02-23,AE BARB CS,Other Expenses,239.95,2025,2
2025-02-23,AE BARB CS,Other Expenses,1557.98,2025,2
2025-02-23,PNP,Other Expenses,295.94,2025,2
2025-02-23,SHOPRITE,Supplies,279.92,2025,2
2025-02-23,WASI,Raw Materials,7087.48,2025,2
2025-02-24,DIESEL,Other Expenses,532.06,2025,2
2025-02-24,SHOPRITE,Supplies,639.88,2025,2
2025-02-24,WASI,Raw Materials,9052.47,2025,2
2025-02-25,MISS SUPERMARKET,Other Expenses,260.0,2025,2
2025-02-25,TBANTU,Other Expenses,50.0,2025,2
2025-02-25,WASI,Raw Materials,7880.6,2025,2
2025-02-25,WESTVAAL,Other Expenses,862.5,2025,2
2025-02-26,ALLY CATS,Other Expenses,160.0,2025,2
2025-02-26,CCS COMPUTERS,Other Expenses,450.0,2025,2
2025-02-26,CHIPKINS,Raw Materials,10521.58,2025,2
2025-02-26,DIESEL,Other Expenses,800.0,2025,2
2025-02-26,HYPER SWEETS,Raw Materials,1200.0,2025,2
2025-02-26,TBANTU,Other Expenses,180.0,2025,2
2025-02-26,WASI,Raw Materials,119.99,2025,2
2025-02-26,WASI,Raw Materials,43.99,2025,2
2025-02-27,AE BARB CS,Other Expenses,119.99,2025,2
2025-02-27,CAVALIERI CHEESE,Other Expenses,575.0,2025,2
2025-02-27,DIESEL,Other Expenses,1021.61,2025,2
2025-02-27,DIESEL,Other Expenses,688.5,2025,2
2025-02-27,EASY SPICE AND PACK,Other Expenses,7157.54,2025,2
2025-02-27,MAKRO,Supplies,2588.9,2025,2
2025-02-27,PNP,Other Expenses,53.98,2025,2
